tensor(0.0369, grad_fn=<MseLossBackward>)
tensor(0.0096, grad_fn=<MseLossBackward>)
tensor(0.0237, grad_fn=<MseLossBackward>)
tensor(0.0420, grad_fn=<MseLossBackward>)
tensor(0.0206, grad_fn=<MseLossBackward>)
tensor(0.0078, grad_fn=<MseLossBackward>)
tensor(0.0192, grad_fn=<MseLossBackward>)
tensor(0.0425, grad_fn=<MseLossBackward>)
tensor(0.0248, grad_fn=<MseLossBackward>)
tensor(0.0261, grad_fn=<MseLossBackward>)
tensor(0.0105, grad_fn=<MseLossBackward>)
tensor(0.0153, grad_fn=<MseLossBackward>)
tensor(0.0230, grad_fn=<MseLossBackward>)
tensor(0.0149, grad_fn=<MseLossBackward>)
tensor(0.0168, grad_fn=<MseLossBackward>)
tensor(0.0113, grad_fn=<MseLossBackward>)
tensor(0.0199, grad_fn=<MseLossBackward>)
tensor(0.0063, grad_fn=<MseLossBackward>)
tensor(0.0162, grad_fn=<MseLossBackward>)
tensor(0.0142, grad_fn=<MseLossBackward>)
tensor(0.0104, grad_fn=<MseLossBackward>)
tensor(0.0422, grad_fn=<MseLossBackward>)
tensor(0.0080, grad_fn=<MseLossBackward>)
tensor(0.0212, grad_fn=<MseLossBackward>)
tensor(0.0234, grad_fn=<MseLossBackward>)
tensor(0.0175, grad_fn=<MseLossBackward>)
tensor(0.0234, grad_fn=<MseLossBackward>)
